paper_id,query,anchor,relevance,hidden_assumption,deception_surface
R51-001,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-002,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-003,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-004,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-005,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-006,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-007,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-008,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-009,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-010,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-011,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-012,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-013,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-014,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-015,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-016,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-017,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-018,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-019,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-020,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-021,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-022,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-023,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-024,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-025,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-026,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
